cutDirDeviation_mean,cutDirDeviation_std,cutDistanceToCenter_mean,cutDistanceToCenter_std,saberSpeed_mean,saberSpeed_std,cutAngle_mean,cutAngle_std
0.0043827477,1.0393934,-0.004343769,1.0195124,-0.003815076,0.98541045,0.006084104,1.0140431
0.005826536,1.0327137,-0.0039080963,1.0124285,-0.0037026864,0.98042285,0.0051720045,1.007124
0.0028160098,1.0291426,-0.00482397,1.0101954,-0.0013185526,0.9863373,0.005630224,1.0020539
0.0042820363,1.0401858,-0.0035113082,1.0195383,-0.003882562,0.9898386,0.0046561477,1.013496
0.0042256764,1.0319824,-0.0041319937,1.0114154,-0.0016933425,0.9848635,0.005768403,1.0041959
0.0016491559,1.0311921,-0.0048372955,1.0098778,-0.001357692,0.98976827,0.0049826056,0.99987584
0.0020831185,1.02771,-0.0046286196,1.0083504,-0.001179224,0.98388654,0.005145064,0.99940056
2.4020323e-05,1.0303695,-0.004508114,1.0074302,0.0009837811,0.98875546,0.0046542333,0.9977684
0.0010985021,1.029776,-0.0053417743,1.0088357,0.00022243785,0.9896408,0.0051913247,0.9980998
0.0050635184,1.0318291,-0.0047491253,1.0125297,-0.002120301,0.98486924,0.00628094,1.0080799
0.007219815,1.0374949,-0.0023218193,1.0196683,-0.0047747893,0.9855627,0.0055541303,1.0164624
0.0017803401,1.0275793,-0.004185053,1.0069172,-0.002177635,0.9878956,0.004428103,0.9979967
0.0039627547,1.0361495,-0.004306125,1.0156679,-0.0026937162,0.9866575,0.0046745418,1.0095928
0.0042163464,1.0324405,-0.0046240115,1.0128417,-0.0017609588,0.98456866,0.006177353,1.005009
0.0058907582,1.0340353,-0.004035449,1.0144845,-0.00439149,0.9815887,0.004962863,1.0092244
0.0018495877,1.0255778,-0.0038401545,1.004826,8.9460824e-05,0.98689425,0.0044817748,0.9945213
0.0025852262,1.0324254,-0.0035201595,1.0119011,-0.0013391041,0.99011016,0.004904738,1.0031422
0.0034672203,1.0331916,-0.0041069486,1.0156682,-0.0017954168,0.98779213,0.0051788166,1.0065386
0.005041677,1.0381725,-0.004886246,1.0188766,-0.0029346396,0.9859984,0.005869654,1.0117332
0.0041053197,1.0318497,-0.00337177,1.0119882,-0.002730503,0.98535746,0.004291742,1.0050645
0.005028551,1.0329881,-0.004219866,1.0124564,-0.0026116583,0.9839448,0.0051762923,1.0037042
0.0010838747,1.0337011,-0.0046557994,1.0105885,-0.0003160985,0.99021006,0.004953743,1.0029402
0.0046820524,1.0374613,-0.0042407275,1.0181379,-0.0028366575,0.98705757,0.005462688,1.0117944
0.0043600104,1.0322425,-0.0034219795,1.0133785,-0.002219294,0.9868895,0.005454502,1.0066926
0.004288656,1.0341907,-0.0045151957,1.0128222,-0.0025178117,0.9862532,0.005100014,1.0061514
0.0010929831,1.033403,-0.0041228966,1.012651,-0.00031808642,0.9906262,0.004676191,1.0031921
0.0038122884,1.0322946,-0.0039973245,1.012141,-0.0016698145,0.98777425,0.0051644184,1.0041887
0.0030866112,1.0334347,-0.0046968297,1.013309,-0.0019423111,0.9889322,0.0053525413,1.0058303
0.0015629228,1.0314325,-0.0032050111,1.0111678,-0.0014555148,0.98928666,0.0043065534,1.0000035
0.002380147,1.0323066,-0.004740397,1.0116409,-0.0015406926,0.98780173,0.0050117434,1.0024531
0.0037354934,1.0363796,-0.0033593462,1.0158715,-0.0024773541,0.98746794,0.004482606,1.009143
0.0018424295,1.0292612,-0.004924553,1.0085309,-1.67947e-05,0.9877826,0.0053419988,0.9996417
0.005479093,1.0341694,-0.0036614262,1.0151259,-0.0030328317,0.9851155,0.00546959,1.0089738
0.0020760759,1.0283883,-0.004031467,1.0072626,-0.0005933663,0.9877157,0.004657681,0.9979089
0.0033301427,1.0377237,-0.0037582875,1.0168877,-0.0026658506,0.99021435,0.0063334038,1.0095513
0.005192678,1.0354687,-0.004686913,1.0174813,-0.0019960275,0.9893584,0.0047414447,1.0094397
0.0013913062,1.0275934,-0.0048185573,1.008242,-0.00022470036,0.9886355,0.004876356,0.99775887
0.0036925203,1.0339451,-0.004274341,1.0151572,-0.0020102279,0.9875817,0.005405004,1.0079119
