cutDirDeviation_mean,scaledRankScore
0.0043827477,6
0.005826536,8
0.0028160098,4
0.0042820363,9
0.0042256764,6
0.0016491559,3
0.0020831185,4
2.4020323e-05,3
0.0010985021,2
0.0050635184,5
0.007219815,9
0.0017803401,6
0.0039627547,7
0.0042163464,5
0.0058907582,8
0.0018495877,5
0.0025852262,6
0.0034672203,6
0.005041677,6
0.0041053197,9
0.005028551,7
0.0010838747,3
0.0046820524,7
0.0043600104,8
0.004288656,6
0.0010929831,4
0.0038122884,6
0.0030866112,5
0.0015629228,7
0.002380147,4
0.0037354934,9
0.0018424295,2
0.005479093,8
0.0020760759,5
0.0033301427,6
0.005192678,7
0.0013913062,3
0.0036925203,6
0.00015679153,3
0.004390718,5
0.005674563,5
0.0039765625,8
0.0032663266,7
0.001551868,2
0.0031914427,4
0.0034095584,6
0.003013521,5
0.0050091646,8
0.004734784,7
5.0803297e-05,5
0.0029054913,7
0.002103088,5
0.0043911743,5
0.0016046703,5
0.00458019,6
0.00086866843,2
0.0009584852,4
0.0017916128,5
0.0057706493,6
0.002583261,4
0.0042642946,8
0.0035295333,5
0.0031531095,7
0.0029123179,3
0.005876427,6
0.004521418,9
0.0048721894,6
0.004908304,7
0.0017223746,5
0.0005620547,2
0.0027085408,6
0.004802968,6
0.0031792945,6
0.0019741445,5
0.00050848315,2
0.0030485871,6
0.0019108743,5
0.006579011,9
0.0026693004,5
0.0016918477,5
0.0026946436,4
0.0016782597,6
0.0032098866,5
0.003474928,5
0.001958975,3
0.005594974,9
0.0030095237,7
0.0024694572,5
0.0022092438,5
-4.9810624e-06,2
0.0012040582,6
0.0016019564,5
0.0032373029,7
0.0022176667,4
0.0039295587,6
0.004201721,8
0.00061675685,2
0.0044452674,7
0.0022356282,4
0.003292644,5
0.002835616,3
0.004082778,6
0.0053607426,9
0.0014825944,5
0.0006494444,3
0.004629062,7
0.0032878122,4
0.0028541046,5
0.0068915873,8
0.0011220031,4
0.004116384,5
0.002163976,6
0.0015478578,3
0.0053323093,8
0.0042538024,5
0.00023215043,3
0.0047334055,7
0.0024719383,5
0.0022582463,5
0.0033401563,7
0.004623623,5
0.0037179287,6
0.0047300733,7
0.003920864,6
0.0016849559,4
0.0016172637,2
0.0035187504,7
0.0038146446,8
0.0031575016,8
0.0016907972,5
0.0058708037,7
0.0004383676,3
0.0016623732,5
0.0032300386,6
0.0040513775,4
0.0016361006,4
7.528032e-05,4
0.0012033969,3
0.0006922387,2
0.0021956875,2
0.005285909,9
0.0034107487,6
0.0034101657,8
0.0026710476,6
0.0040357164,5
0.00092069956,3
0.002390591,4
0.0033103558,6
0.005173081,10
0.0021844613,4
0.0015205775,2
0.0017130036,4
0.004092965,6
0.0029806378,7
0.0024597174,3
0.004263574,8
0.0036294567,4
0.002894539,5
0.0057537924,9
0.0015441232,5
0.004469804,7
0.0033911425,5
0.00031282718,2
0.0026076022,8
0.0014489718,3
0.005580723,9
0.00364791,6
0.0011110842,2
0.003891434,6
0.0032822504,5
0.006603682,8
0.003350602,6
0.002901915,4
0.0026834062,4
0.003121329,7
0.0024287882,6
0.003264654,6
0.0013111323,2
0.0014788822,4
0.0037123687,7
0.0036014854,8
0.0027243472,6
0.0041455696,6
0.003521809,4
0.0026926151,5
0.0029195393,5
0.0024352982,6
0.0033766902,5
0.0041776816,7
0.008344442,6
0.0027431077,7
0.004046354,6
0.0026155016,4
0.0046851127,8
0.0018264927,6
0.002387134,5
0.004378076,5
0.002736214,4
0.004499042,8
0.00022679532,2
0.0008963082,5
0.00039627368,3
0.0030809469,6
0.0030011418,4
0.0027951314,5
0.0062778792,8
0.0028261668,5
0.003665974,5
0.0024975198,4
0.0015311312,4
0.0021917908,4
0.0020162216,6
0.002078365,6
